rightx,righty,topx,topy,bottomx,bottomy,leftx,lefty
1000.13627314568,-0.000400543212890625,-0.000399351119995117,999.931866526604,0.000397205352783203,-999.931869506836,-1000.13626861572,0.000399231910705566
1000.14093136787,-0.000421285629272461,-0.000420331954956055,999.929537534714,0.000417709350585938,-999.929540395737,-1000.14092755318,0.000419974327087402
1000.14566779137,-0.0004425048828125,-0.000441551208496094,999.927169322968,0.000439167022705078,-999.9271723032,-1000.14566445351,0.000441312789916992
1000.15048313141,-0.000464677810668945,-0.000463247299194336,999.924761891365,0.000461101531982422,-999.924765110016,-1000.15047907829,0.000463008880615234
1000.15537595749,-0.000487327575683594,-0.000486612319946289,999.922315597534,0.000483512878417969,-999.922318577766,-1000.15537285805,0.000485777854919434
1000.16034770012,-0.000510811805725098,-0.000510215759277344,999.919829964638,0.000507116317749023,-999.919832825661,-1000.16034460068,0.000509262084960938
1000.16539692879,-0.000535130500793457,-0.000535249710083008,999.917305111885,0.000531196594238281,-999.917307853699,-1000.16539525986,0.000533580780029297
1000.17052555084,-0.000560164451599121,-0.000560283660888672,999.914741396904,0.000556468963623047,-999.914744019508,-1000.17052340508,0.000558733940124512
1000.17573213577,-0.000586032867431641,-0.000585794448852539,999.912138342857,0.000582456588745117,-999.912140965462,-1000.17572999001,0.000584602355957031
1000.18101739883,-0.000612735748291016,-0.000612020492553711,999.909496188164,0.000609636306762695,-999.909499049187,-1000.18101453781,0.000611186027526855
1000.18638062477,-0.000640034675598145,-0.000639438629150391,999.906814932823,0.000637054443359375,-999.906817674637,-1000.18637752533,0.000638842582702637
1000.191822052,-0.00066828727722168,-0.000667572021484375,999.904094457626,0.000665187835693359,-999.90409719944,-1000.19181919098,0.000666975975036621
1000.19734191895,-0.00069725513458252,-0.000696659088134766,999.901335000992,0.000694513320922852,-999.901337623596,-1000.19733905792,0.000696063041687012
1000.20293998718,-0.000726699829101562,-0.000726938247680664,999.898536682129,0.000724315643310547,-999.898538589478,-1000.20293712616,0.000726222991943359
