hx0,hy0,hx1,hy1
11633.286301,-13881.656097,-2375.541794,1516.521790
11668.536560,-13986.054810,-2381.049973,1529.343048
11703.745331,-14091.135315,-2386.533386,1542.252838
11738.910477,-14196.902496,-2391.992020,1555.250641
11774.030304,-14303.360260,-2397.425659,1568.337067
11809.102631,-14410.512360,-2402.833939,1581.513000
11844.125885,-14518.363098,-2408.216293,1594.778259
11879.097778,-14626.915924,-2413.572769,1608.133118
11914.016891,-14736.174438,-2418.902954,1621.578735
11948.880768,-14846.143494,-2424.206787,1635.114777
11983.687653,-14956.826965,-2429.483643,1648.741638
12018.435287,-15068.229095,-2434.733353,1662.459778
12053.121994,-15180.353394,-2439.955658,1676.269775
12087.745712,-15293.204620,-2445.150070,1690.172028
12122.304230,-15406.786530,-2450.316528,1704.166626
12156.795395,-15521.103455,-2455.454651,1718.253937
12191.217133,-15636.159302,-2460.564194,1732.434875
12225.566986,-15751.958435,-2465.644791,1746.708862
12259.843307,-15868.504822,-2470.695999,1761.077484
12294.043671,-15985.803009,-2475.717804,1775.540222
12328.165695,-16103.857025,-2480.709763,1790.097809
12362.207199,-16222.671143,-2485.671616,1804.750580
12396.166412,-16342.249756,-2490.602737,1819.498993
12430.040451,-16462.596954,-2495.503220,1834.343597
12463.827255,-16583.717072,-2500.372391,1849.284851
12497.524734,-16705.615356,-2505.210144,1864.322357
12531.130142,-16828.295074,-2510.016220,1879.457672
12564.641220,-16951.761139,-2514.790085,1894.690430
12598.055374,-17076.018158,-2519.531723,1910.021271
12631.370743,-17201.070496,-2524.240601,1925.450073
12664.584457,-17326.921906,-2528.916229,1940.978058
12697.694031,-17453.577423,-2533.558304,1956.605530
12730.697083,-17581.041687,-2538.166809,1972.332611
12763.591156,-17709.319397,-2542.741135,1988.159668
12796.373428,-17838.414673,-2547.281097,2004.087158
12829.041611,-17968.332001,-2551.786240,2020.115967
12861.592834,-18099.076172,-2556.256378,2036.246429
12894.024673,-18230.652039,-2560.691147,2052.478729
12926.334412,-18363.064148,-2565.089890,2068.813049
12958.519226,-18496.316956,-2569.452606,2085.249969
12990.576324,-18630.415344,-2573.778946,2101.790314
13022.503418,-18765.363739,-2578.068268,2118.434296
13054.297531,-18901.166840,-2582.320450,2135.182526
13085.955704,-19037.829834,-2586.535065,2152.035217
13117.475311,-19175.358002,-2590.711731,2168.992615
13148.853287,-19313.755341,-2594.850067,2186.055542
13180.087036,-19453.026276,-2598.949585,2203.224609
13211.173492,-19593.176880,-2603.010056,2220.499420
13242.109726,-19734.211121,-2607.031235,2237.881226
13272.892441,-19876.134216,-2611.012589,2255.370483
13303.518997,-20018.950897,-2614.953766,2272.967743
13333.986404,-20162.666443,-2618.854446,2290.673126
13364.291382,-20307.285706,-2622.714233,2308.486786
13394.431107,-20452.813507,-2626.532761,2326.409943
13424.402390,-20599.255646,-2630.309402,2344.442383
13454.201874,-20746.615967,-2634.044037,2362.585266
13483.826599,-20894.900360,-2637.736130,2380.838562
13513.273209,-21044.113922,-2641.385406,2399.203064
13542.538574,-21194.261444,-2644.991379,2417.678619
13571.619568,-21345.348663,-2648.553589,2436.266266
13600.512604,-21497.380035,-2652.071747,2454.966492
13629.214233,-21650.360962,-2655.545380,2473.779938
13657.721100,-21804.296875,-2658.974060,2492.706970
13686.030243,-21959.193085,-2662.357361,2511.747864
13714.138123,-22115.054504,-2665.694733,2530.903320
13742.040619,-22271.886688,-2668.986389,2550.173859
13769.734863,-22429.694977,-2672.231018,2569.559875
13797.217224,-22588.485077,-2675.428833,2589.061615
13824.484314,-22748.261627,-2678.579285,2608.680267
13851.532074,-22909.030701,-2681.681641,2628.415771
13878.357239,-23070.797028,-2684.735840,2648.269592
13904.955536,-23233.566925,-2687.741089,2668.240875
13931.323700,-23397.344940,-2690.697174,2688.331085
13957.458069,-23562.137360,-2693.603699,2708.540619
13983.354156,-23727.949554,-2696.460510,2728.869507
14009.009216,-23894.786865,-2699.266418,2749.318970
14034.418793,-24062.655426,-2702.021423,2769.888855
14059.578857,-24231.560608,-2704.724762,2790.580536
14084.485931,-24401.507568,-2707.376099,2811.394073
14109.135620,-24572.502930,-2709.974945,2832.329590
14133.524384,-24744.551453,-2712.520935,2853.388306
14157.647980,-24917.659393,-2715.013214,2874.570709
14181.501678,-25091.832245,-2717.452423,2895.877258
14205.081543,-25267.076080,-2719.837280,2917.308380
14228.384064,-25443.397034,-2722.167145,2938.864746
14251.404602,-25620.800201,-2724.441650,2960.546814
14274.138824,-25799.291687,-2726.660522,2982.355377
14296.582886,-25978.878204,-2728.822784,3004.290649
14318.731964,-26159.564880,-2730.928558,3026.353577
